"record_number","project","record_id","date","loc_region","catch_site","catch_site_acc","lat","long","sex","f_w","f_tl","f_sl","f_hl","f_condition","o_picture","o_de","o_le","o_wi","o_td","o_we","o_side","o_condition","obs","o_obs"
31,"Baja","SG-EN-170705-01",2017-07-05,"Mx_Pacific_North","Ajusco (Erendira)","High",31.292563,-116.419495,"Immature",2,50,NA,13,"Eviscerated","YES",1.44,7.28,5.67,NA,0.0601,"R","Broken",NA,"missing the tip/incomplete length and total depth"
32,"Baja","SG-EN-170705-02",2017-07-05,"Mx_Pacific_North","Ajusco (Erendira)","High",31.292563,-116.419495,"Immature",1.7,45,NA,11,"Eviscerated","YES",1.59,10.16,5.95,1.84,0.0717,NA,"Fine",NA,"Fine"
33,"Baja","SG-EN-170710-01",2017-07-10,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,NA,170,NA,NA,51,"Eviscerated","YES",3.02,23.95,7.85,7.14,0.8365,"R","Fine",NA,"Fine"
40,"Baja","SG-EN-170712-01",2017-07-12,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",2.34,56,NA,18,"Eviscerated","YES",1.35,11.84,5.7,1.85,0.0962,"L","Fine",NA,"Fine"
35,"Baja","SG-EN-170713-01",2017-07-13,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",1.4,52,NA,14.5,"Eviscerated","YES",1.41,12.21,5.64,2.29,0.088,"L","Fine",NA,"Fine"
36,"Baja","SG-EN-170713-02",2017-07-13,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",1.42,47,NA,13,"Eviscerated","YES",1.47,10.93,4.87,2.01,0.071,"L","Fine",NA,"Fine"
37,"Baja","SG-EN-170713-03",2017-07-13,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",1.64,51,NA,14,"Eviscerated","YES",1.41,12.76,6.06,2.12,0.0922,"L","Fine",NA,"Fine"
38,"Baja","SG-EN-170713-04",2017-07-13,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",1.06,42,NA,11,"Eviscerated","YES",1.28,10.84,5.06,1.21,0.0634,"L","Fine",NA,"Fine"
39,"Baja","SG-EN-170713-05",2017-07-13,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",1.34,48,NA,13,"Eviscerated","YES",1.37,12.2,5.03,1.98,0.0906,"L","Fine",NA,"Fine"
41,"Baja","SG-EN-170713-06",2017-07-13,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",1.34,46,NA,11.5,"Eviscerated","YES",1.36,11.37,5.77,1.96,0.082,"L","Fine",NA,"Fine"
54,"Baja","SG-EN-170810-01",2017-08-10,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,NA,NA,NA,NA,NA,"Whole","YES",2.41,18.54,7.93,NA,0.3039,"L","Broken",NA,"broken tip/incomplete weight"
55,"Baja","SG-EN-170819-01",2017-08-19,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",6.5,74,NA,21,"Eviscerated","YES",1.38,14.29,7.32,2.94,NA,"L","Fine",NA,"Fine"
56,"Baja","SG-EN-170819-02",2017-08-19,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,NA,24,112,NA,33,"Eviscerated","YES",2.32,18.66,7.48,4.66,0.3339,"R","Fine",NA,"Fine"
63,"Baja","SG-EN-180517-01",2018-05-17,"Mx_Pacific_Central","Bahía Tortugas","Low",27.607747,-114.871167,"Immature",1.96,52,42.5,13.5,"Eviscerated","YES",1.81,11.85,6.53,2.23,0.0868,"L","Fine",NA,"Fine"
64,"Baja","SG-EN-180517-02",2018-05-17,"Mx_Pacific_Central","Bahía Tortugas","Medium",27.607747,-114.871167,"Immature",11.16,83,69,23,"Eviscerated","YES",2.02,16.44,8.64,3.79,0.2466,"L","Fine",NA,"Fine"
65,"Baja","SG-EN-180517-03",2018-05-17,"Mx_Pacific_Central","Bahía Tortugas","Low",27.607747,-114.871167,"Immature",3.28,62,50,15.2,"Eviscerated","YES",1.55,2.48,6.15,2.48,0.1035,"L","Fine",NA,"Fine"
66,"Baja","SG-EN-180517-04",2018-05-17,"Mx_Pacific_Central","Bahía Tortugas","Low",27.607747,-114.871167,"Immature",1.08,43,35,12,"Eviscerated","YES",1.25,9.65,5.36,1.81,0.0681,"L","Fine",NA,"Fine"
67,"Baja","SG-EN-180517-05",2018-05-17,"Mx_Pacific_Central","Bahía Tortugas","Low",27.607747,-114.871167,"Immature",0.52,34,27,9,"Eviscerated","YES",1.34,9.72,5.3,1.92,0.063,"L","Fine",NA,"Fine"
77,"Baja","SG-ER-180827-01",2018-08-27,"Mx_Pacific_North","El Rosario (Caracolera)","High",29.871486,-115.78257,NA,35.1,131,110,33,"Whole","YES",2.64,21.43,7.84,5.25,0.4821,NA,"Fine",NA,"Fine"
78,"Baja","SG-ER-180827-02",2018-08-27,"Mx_Pacific_North","La Lobera","High",29.78253,-115.80003,"Immature",6,75,63,20,"Eviscerated","YES",1.82,15.7,7.41,3.08,0.1927,NA,"Fine",NA,"Fine"
79,"Baja","SG-ER-180827-03",2018-08-27,"Mx_Pacific_North","La Lobera","High",29.78253,-115.80003,"Immature",3.7,60,50,15,"Eviscerated","YES",1.84,12.51,5.96,2.97,0.1208,NA,"Fine",NA,"Fine"
80,"Baja","SG-ER-180827-04",2018-08-27,"Mx_Pacific_North","Faro San Jose","High",29.82556,-115.78216,"Immature",21.9,110,92,23,"Eviscerated","YES",1.86,17.84,7.88,3.76,0.2461,NA,"Fine",NA,"Fine"
81,"Baja","SG-ER-180827-05",2018-08-27,"Mx_Pacific_North","Faro San Jose","High",29.82556,-115.78216,"Immature",5.7,73,56.1,18,"Eviscerated","YES",1.57,15.12,6.73,2.64,0.2155,NA,"Fine",NA,"Fine"
82,"Baja","SG-ER-180827-06",2018-08-27,"Mx_Pacific_North","La Lobera","High",29.78253,-115.80003,"Immature",4.5,69,57,17,"Eviscerated","YES",1.43,13.62,6.37,2.51,0.1791,NA,"Fine",NA,"Fine"
29,"Baja","SG-GN-170616-01",2017-06-16,"Mx_Pacific_Central","Las Casitas","High",28.029533,-114.339297,"Immature",5.6,68,NA,19,"Eviscerated","YES",1.76,13.97,6.29,2.94,0.132,"L","Fine",NA,"Fine"
30,"Baja","SG-GN-170616-02",2017-06-16,"Mx_Pacific_Central","Las Casitas","High",28.029533,-114.339297,"Immature",13.6,97,NA,27,"Eviscerated","YES",1.79,17.02,6.87,3.66,0.2255,"R","Fine",NA,"Fine"
59,"Baja","SG-GN-170717-01",2017-07-17,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,NA,24.5,117.5,NA,31.4,"Eviscerated","YES",1.86,19.11,8.74,4.35,0.2905,"L","Fine",NA,"Fine"
60,"Baja","SG-GN-170717-02",2017-07-17,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",3.5,70.2,NA,20,"Eviscerated","YES",1.63,15.4,6.04,2.53,0.1346,"L","Fine",NA,"Fine"
83,"Baja","SG-IN-180831-01",2018-08-31,"Mx_Pacific_Central","Isla Natividad","High",27.93261,-115.1341,NA,29.5,120,98,31,"Eviscerated","NO",NA,NA,NA,NA,NA,NA,"Fine",NA,"Fine"
96,"CA","SG-MX-110124-1",2011-01-24,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,166.071934798016,NA,"Eviscerated","NO",1.94,18.71,7.07,3.9,0.2506,"R","Fine",NA,"Fine"
97,"CA","SG-MX-110315-1",2011-03-15,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,157.212969525159,NA,"Eviscerated","NO",3.28,24.89,9.79,5.73,0.7424,"R","Broken",NA,"Broken tip"
99,"CA","SG-MX-120511-1",2012-05-11,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,127.092487597449,NA,"Eviscerated","NO",2.84,21.76,9.11,5.53,0.5285,"R","Fine",NA,"Fine"
100,"CA","SG-MX-120511-2",2012-05-11,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,134.179659815733,NA,"Eviscerated","NO",2.7,20.73,9.18,5.86,0.4636,"L","Broken",NA,"Broken tip"
101,"CA","SG-MX-120608-1",2012-06-08,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,107.602763997165,NA,"Eviscerated","NO",2.37,19.98,9.09,4.71,0.3522,"L","Fine",NA,"Fine"
102,"CA","SG-MX-120608-2",2012-06-08,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,104.059177888023,NA,"Eviscerated","NO",2.34,18,8.6,4.52,0.2815,"L","Fine",NA,"Fine"
103,"CA","SG-MX-120608-3",2012-06-08,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,91.6566265060241,NA,"Eviscerated","NO",2.08,16.66,8.02,3.88,0.2222,"L","Fine",NA,"Fine"
104,"CA","SG-MX-120629-1",2012-06-29,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,187.33345145287,NA,"Eviscerated","NO",4.89,27.4,12.07,8.35,1.5861,"L","Fine",NA,"Fine"
112,"CA","SG-MX-120629-10",2012-06-29,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,49.1335931963147,NA,"Eviscerated","NO",1.46,11.62,5.8,2.32,0.0929,"L","Fine",NA,"Fine"
113,"CA","SG-MX-120629-15",2012-06-29,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,100.51559177888,NA,"Eviscerated","NO",2.36,19.41,7.84,4.47,0.3266,"L","Fine",NA,"Fine"
114,"CA","SG-MX-120629-17",2012-06-29,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,111.146350106308,NA,"Eviscerated","NO",2.27,20.7,9.07,5.52,0.3515,"L","Fine",NA,"Fine"
105,"CA","SG-MX-120629-2",2012-06-29,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,139.495038979447,NA,"Eviscerated","NO",2.55,22.22,9.6,7.05,0.515,"L","Fine",NA,"Fine"
106,"CA","SG-MX-120629-3",2012-06-29,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,127.092487597449,NA,"Eviscerated","NO",2.91,21.2,9.11,5.4,0.5059,"L","Fine",NA,"Fine"
107,"CA","SG-MX-120629-4",2012-06-29,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,0,NA,"Eviscerated","NO",2.7,19.37,10.04,4.41,0.3595,"L","Fine",NA,"Fine"
108,"CA","SG-MX-120629-5",2012-06-29,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,77.4822820694543,NA,"Eviscerated","NO",2.07,12.86,8.04,2.7,0.1796,"L","Fine",NA,"Fine"
